X,Y,latitude,longitude,id,observed_o,observed_1,time_obser,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_gr,license,url,image_url,sound_url,tag_list,descriptio,num_identi,num_iden_1,captive_cu,oauth_appl,place_gues,Field25,Field26,positional,private_pl,private_la,private_lo,public_pos,geoprivacy,taxon_geop,coordinate,positionin,position_1,species_gu,scientific,common_nam,iconic_tax,taxon_id,taxon_king,taxon_spec,field_alti,field_habi,field_refe,icon_url
19.5384402573,-34.5856090387,"-34.5856090387","19.5384402573","16632632",2018-08-22 1:29:54 PM SAST,2018/08/22,2018-08-22 11:29:54 UTC,Africa/Johannesburg,"1215058",sarien,,2018-09-17 17:38:38 UTC,2019-10-17 10:15:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/16632632,https://inaturalist-open-data.s3.amazonaws.com/photos/25072085/medium.jpeg,,,On gravel soils.,"5","0","0","2","Greater Hermanus, South Africa",,,"22",,,,"22",,open,"0",gps,gps,Orange Satyre,Satyrium coriifolium,Orange Satyre,Plantae,"559979",Plantae,Satyrium coriifolium,,,,./0.png
19.5336620824621,-34.5838775378142,"-34.5475660285","19.5460459986","17898910",2018-10-24 8:00:00 AM SAST,2018/10/24,2018-10-24 04:00:00 UTC,Pretoria,"1215058",sarien,,2018-10-28 08:19:04 UTC,2023-10-03 11:03:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/17898910,https://inaturalist-open-data.s3.amazonaws.com/photos/27336618/medium.jpeg,,,Found in yard. Had to relocate outside fence due to dogs.,"14","0","0","2","Overberg, ZA-WC, ZA",,,"11","Greater Hermanus, South Africa","-34.5838736465","19.5337028056","28818",,obscured,"1",gps,gps,Southern Adder,Bitis armata,Southern Adder,Reptilia,"95801",Animalia,Bitis armata,,Fynbos,,./0.png
19.5331056789,-34.5838209245,"-34.5838209245","19.5331056789","18084371",2018-10-08 9:42:14 PM SAST,2018/10/08,2018-10-08 17:42:14 UTC,Pretoria,"1215058",sarien,,2018-11-04 06:18:48 UTC,2022-03-28 15:29:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/18084371,https://inaturalist-open-data.s3.amazonaws.com/photos/27650383/medium.jpeg,,,,"3","1","0","2","Greater Hermanus, South Africa",,,"349",,,,"349",,open,"0",gps,gps,Narrowtube Watsonia,Watsonia stenosiphon,Narrowtube Watsonia,Plantae,"596238",Plantae,Watsonia stenosiphon,,,,./0.png
19.5337217527377,-34.5823599786974,"-34.436759723","19.5406880488","18471121",2018-11-16 1:51:36 PM SAST,2018/11/16,2018-11-16 11:51:36 UTC,Pretoria,"1215058",sarien,,2018-11-18 12:06:42 UTC,2022-11-08 16:50:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/18471121,https://inaturalist-open-data.s3.amazonaws.com/photos/28243818/medium.jpeg,,,6 flowerheads. Colour cream with purple stripes. About 300mm tall. At about 180m altitude,"5","0","0","2","Overberg, ZA-WC, ZA",,,"22","Greater Hermanus, South Africa","-34.5843329617","19.5384818316","28818",,obscured,"1",gps,gps,Cinnamon Geranium,Pelargonium triste,Sad Storksbill,Plantae,"119327",Plantae,Pelargonium triste,,Unknown,,./0.png
19.5263411477,-34.5852214976,"-34.5852214976","19.5263411477","18513147",2018-11-18 3:20:46 PM SAST,2018/11/18,2018-11-18 13:20:46 UTC,Africa/Johannesburg,"1215058",sarien,,2018-11-20 06:33:23 UTC,2020-03-26 13:55:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/18513147,https://inaturalist-open-data.s3.amazonaws.com/photos/28316990/medium.jpg,,,,"2","0","0","2","Greater Hermanus, South Africa",,,"44",,,,"44",,open,"0",gps,gps,Common Cat's-ear,Hypochaeris radicata,Hairy Wild Lettuce,Plantae,"53104",Plantae,Hypochaeris radicata,,Unknown,,./0.png
19.5339012146,-34.5837364197,"-34.5837364197","19.5339012146","18513180",2018-11-17 8:49:22 AM SAST,2018/11/17,2018-11-17 06:49:22 UTC,Africa/Johannesburg,"1215058",sarien,,2018-11-20 06:36:37 UTC,2018-11-20 09:53:14 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/18513180,https://inaturalist-open-data.s3.amazonaws.com/photos/28317044/medium.jpeg,,,,"1","0","0","2","Greater Hermanus, South Africa",,,,,,,,,,"0",gps,gps,Rain Spiders,Palystes,Rain Spiders,Arachnida,"347801",Animalia,,,Fynbos,,./0.png
19.5299620954,-34.5857340143,"-34.5857340143","19.5299620954","18937813",2018/12/10 9:50 AM UTC,2018/12/10,,UTC,"1215058",sarien,,2018-12-10 11:14:45 UTC,2018-12-24 10:29:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/18937813,https://inaturalist-open-data.s3.amazonaws.com/photos/29030970/medium.jpeg,,,About 15cm in height. Deep purple flowers (not blue). Starting to flower about 1 week ago (around beginning of December).,"3","0","0",,"Overberg District Municipality, South Africa",,,"15",,,,"15",,open,"0",,,Common Summerpipes,Thereianthus bracteolatus,Common Summerpipes,Plantae,"595340",Plantae,Thereianthus bracteolatus,,,,./0.png
19.5258013532,-34.5842015713,"-34.5842015713","19.5258013532","19010339",2018-12-14 11:23:04 AM SAST,2018/12/14,2018-12-14 09:23:04 UTC,Africa/Johannesburg,"1215058",sarien,,2018-12-14 09:27:45 UTC,2020-02-06 17:18:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19010339,https://inaturalist-open-data.s3.amazonaws.com/photos/29152822/medium.jpeg,,,Fynbos,"1","0","0","2","Greater Hermanus, South Africa",,,"44",,,,"44",,open,"0",gps,gps,needleleaf combflower,Micranthus plantagineus,Needleleaf Combflower,Plantae,"1028699",Plantae,Micranthus plantagineus,"60",Fynbos,,./0.png
19.5257601142,-34.5840660403,"-34.5840660403","19.5257601142","19010475",2018-12-14 11:30:47 AM SAST,2018/12/14,2018-12-14 09:30:47 UTC,Africa/Johannesburg,"1215058",sarien,,2018-12-14 09:45:23 UTC,2020-11-15 07:27:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19010475,https://inaturalist-open-data.s3.amazonaws.com/photos/29153011/medium.jpeg,,,,"2","0","0","2","Greater Hermanus, South Africa",,,"88",,,,"88",,open,"0",gps,gps,Mountain Watsonia,Watsonia schlechteri,Mountain Watsonia,Plantae,"596236",Plantae,Watsonia schlechteri,,,,./0.png
19.5256092399,-34.5842048837,"-34.5842048837","19.5256092399","19045776",2018-12-16 12:56:53 PM SAST,2018/12/16,2018-12-16 10:56:53 UTC,Africa/Johannesburg,"1215058",sarien,,2018-12-16 11:08:47 UTC,2018-12-24 10:17:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19045776,https://inaturalist-open-data.s3.amazonaws.com/photos/29214622/medium.jpeg,,,,"1","0","0","2","Greater Hermanus, South Africa",,,"22",,,,"22",,open,"0",gps,gps,Aristea oligocephala,Aristea oligocephala,,Plantae,"580250",Plantae,Aristea oligocephala,,Fynbos,,./0.png
19.5255767182,-34.5841513338,"-34.5841513338","19.5255767182","19065640",2018-12-17 1:46:46 PM SAST,2018/12/17,2018-12-17 11:46:46 UTC,Africa/Johannesburg,"1215058",sarien,,2018-12-17 11:51:35 UTC,2018-12-24 10:17:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19065640,https://inaturalist-open-data.s3.amazonaws.com/photos/29249324/medium.jpg,,,,"1","0","0","2","Greater Hermanus, South Africa",,,"22",,,,"22",,open,"0",gps,gps,Osteospermum rotundifolium,Osteospermum rotundifolium,Roundleaf Boneseed,Plantae,"591010",Plantae,Osteospermum rotundifolium,,Fynbos,,./0.png
19.5286937803,-34.585174297,"-34.585174297","19.5286937803","19132672",2018-12-21 1:53:16 PM SAST,2018/12/21,2018-12-21 11:53:16 UTC,Africa/Johannesburg,"1215058",sarien,,2018-12-21 12:00:49 UTC,2020-10-19 07:26:03 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/19132672,https://inaturalist-open-data.s3.amazonaws.com/photos/29370906/medium.jpeg,,,Any suggestions on whether it is Horta or juniperina?,"0","0","0","2","Greater Hermanus, South Africa",,,"22",,,,"22",,,"0",gps,gps,Aspalathuses,Aspalathus,Capegorses,Plantae,"139725",Plantae,,,Fynbos,,./0.png
19.5314121991,-34.5853636514,"-34.5853636514","19.5314121991","19132828",2018-12-21 2:19:44 PM SAST,2018/12/21,2018-12-21 12:19:44 UTC,Africa/Johannesburg,"1215058",sarien,,2018-12-21 12:23:54 UTC,2018-12-24 10:15:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19132828,https://inaturalist-open-data.s3.amazonaws.com/photos/29371353/medium.jpeg,,,,"2","0","0","2","Greater Hermanus, South Africa",,,"44",,,,"44",,open,"0",gps,gps,Merciera leptoloba,Merciera leptoloba,White Mercybell,Plantae,"589787",Plantae,Merciera leptoloba,,,,./0.png
19.5689611137,-34.5796811736,"-34.5796811736","19.5689611137","19150338",2018/10/31,2018/10/31,,UTC,"1215058",sarien,,2018-12-22 10:28:18 UTC,2019-02-18 18:51:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19150338,https://inaturalist-open-data.s3.amazonaws.com/photos/29403103/medium.jpg,,,This is not my observation. A local resident (unfortunately) picked this flower in the kloof behind Baardskeerdersbos and then send me this photo. The location is this approximate.,"5","1","0","2","Greater Hermanus, South Africa",,,"88",,,,"88",,open,"0",gps,gps,Stink Uintjie,Moraea lurida,Stink Uintjie,Plantae,"574782",Plantae,Moraea lurida,,Afrotemperate Forest,,./0.png
